Date,Open,High,Low,Mean,Close,Volume,Rentability,Cumulative Rent.
2010-06-28,1.13333,1.13333,1.13333,1.13333,1.13333,0,0.0,0.0
2010-06-29,1.26667,1.66667,1.16933,1.4180000000000001,1.59267,281749140,0.2511801505298547,0.2511801505298547
2010-06-30,1.71933,2.028,1.55333,1.7906650000000002,1.58867,257915910,0.26281029619181945,0.5139904467216742
2010-07-01,1.66667,1.728,1.35133,1.5396649999999998,1.464,123447945,-0.1401713888415758,0.3738190578800984
2010-07-02,1.53333,1.54,1.24733,1.393665,1.28,77127105,-0.09482582250034906,0.27899323537974935
2010-07-06,1.33333,1.33333,1.05533,1.19433,1.074,103189440,-0.14302935066891975,0.1359638847108296
2010-07-07,1.09333,1.10867,0.998667,1.0536685000000001,1.05333,103873710,-0.11777440071002133,0.018189484000808262
2010-07-08,1.076,1.168,1.038,1.103,1.164,115793085,0.04681880496569828,0.06500828896650654
2010-07-09,1.172,1.19333,1.10333,1.14833,1.16,60879090,0.04109700815956491,0.10610529712607145
2010-07-12,1.19667,1.20467,1.13333,1.169,1.13667,33053550,0.018000052249788793,0.12410534937586024
2010-07-13,1.15933,1.24267,1.12667,1.1846700000000001,1.20933,40200900,0.013404619332763107,0.13750996870862334
2010-07-14,1.196,1.34333,1.184,1.263665,1.32267,62941650,0.0666810166544269,0.20419098536305025
2010-07-15,1.32933,1.43333,1.26667,1.35,1.326,56179455,0.06832111358627488,0.27251209894932515
2010-07-16,1.38,1.42,1.33667,1.3783349999999999,1.376,39318150,0.020988888888888724,0.2935009878382139
2010-07-19,1.42467,1.48333,1.39467,1.439,1.46067,37297335,0.04401324786789873,0.3375142357061126
2010-07-20,1.45667,1.45667,1.33667,1.3966699999999999,1.35333,27378465,-0.02941626129256442,0.3080979744135482
2010-07-21,1.37733,1.39333,1.3,1.346665,1.348,18801630,-0.03580301717656988,0.27229495723697833
2010-07-22,1.36667,1.41667,1.358,1.3873350000000002,1.4,14435175,0.03020053242640167,0.30249548966338
2010-07-23,1.41267,1.43733,1.404,1.420665,1.41933,9810735,0.024024478586642632,0.32651996825002266
2010-07-26,1.43333,1.43333,1.35333,1.39333,1.39667,13836795,-0.01924098925503205,0.3072789789949906
2010-07-27,1.394,1.412,1.35067,1.381335,1.37,9295125,-0.00860887227002934,0.2986701067249613
2010-07-28,1.37,1.39333,1.36733,1.3803299999999998,1.38133,7007745,-0.0007275570372141043,0.2979425496877472
2010-07-29,1.38467,1.392,1.33333,1.3626649999999998,1.35667,9238650,-0.012797664326646559,0.2851448853611006
2010-07-30,1.34667,1.36267,1.30333,1.3330000000000002,1.32933,6402450,-0.021769840716536797,0.2633750446445638
2010-08-02,1.36667,1.398,1.35533,1.376665,1.39467,10787175,0.03275693923480858,0.2961319838793724
2010-08-03,1.4,1.46333,1.388,1.425665,1.46333,18465345,0.035593263430100955,0.33172524730947334
2010-08-04,1.46333,1.47867,1.39,1.434335,1.41733,13811340,0.006081372552457945,0.3378066198619313
2010-08-05,1.436,1.43667,1.33667,1.38667,1.36333,11945700,-0.03323142780452255,0.30457519205740874
2010-08-06,1.34,1.344,1.30133,1.3226650000000002,1.306,11132070,-0.04615734096793027,0.25841785108947846
2010-08-09,1.32667,1.332,1.29667,1.314335,1.30667,12189840,-0.0062978910003668115,0.25211996008911164
2010-08-10,1.31,1.31,1.25467,1.282335,1.26867,19219290,-0.02434691307771613,0.2277730470113955
2010-08-11,1.246,1.25867,1.19,1.224335,1.19333,11964750,-0.04522999060307958,0.18254305640831592
2010-08-12,1.18667,1.19333,1.15933,1.17633,1.17333,10369215,-0.039209040009474415,0.1433340163988415
2010-08-13,1.212,1.23,1.17733,1.203665,1.22133,9517695,0.023237526884462595,0.1665715432833041
2010-08-16,1.23,1.25333,1.21733,1.23533,1.252,7293165,0.026307153568476325,0.1928786968517804
2010-08-17,1.264,1.29333,1.252,1.272665,1.27667,6718215,0.030222693531283054,0.22310139038306348
